cv,ct,hww,hzz,htt,hmm,hbb,hcc,hgg,hzg,hgluglu,hinv
0.5,-6.0,0.0827,0.0827,11.9098,11.9098,0.3308,0.3308,0.3308,0.3308,0.3308,0.0000
0.5,-4.0,0.1417,0.1417,9.0699,9.0699,0.5669,0.5669,0.5669,0.5669,0.5669,0.0000
0.5,-3.0,0.1889,0.1889,6.7999,6.7999,0.7555,0.7555,0.7555,0.7555,0.7555,0.0000
0.5,-2.5,0.2173,0.2173,5.4325,5.4325,0.8692,0.8692,0.8692,0.8692,0.8692,0.0000
0.5,-2.0,0.2478,0.2478,3.9647,3.9647,0.9912,0.9912,0.9912,0.9912,0.9912,0.0000
0.5,-1.5,0.2782,0.2782,2.5034,2.5034,1.1126,1.1126,1.1126,1.1126,1.1126,0.0000
0.5,-1.333,0.2877,0.2877,2.0448,2.0448,1.1508,1.1508,1.1508,1.1508,1.1508,0.0000
0.5,-1.25,0.2922,0.2922,1.8264,1.8264,1.1689,1.1689,1.1689,1.1689,1.1689,0.0000
0.5,-1.0,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,-0.833,0.3122,0.3122,0.8665,0.8665,1.2487,1.2487,1.2487,1.2487,1.2487,0.0000
0.5,-0.75,0.3154,0.3154,0.7097,0.7097,1.2617,1.2617,1.2617,1.2617,1.2617,0.0000
0.5,-0.667,0.3184,0.3184,0.5666,0.5666,1.2736,1.2736,1.2736,1.2736,1.2736,0.0000
0.5,-0.5,0.3235,0.3235,0.3235,0.3235,1.2938,1.2938,1.2938,1.2938,1.2938,0.0000
0.5,-0.333,0.3272,0.3272,0.1451,0.1451,1.3087,1.3087,1.3087,1.3087,1.3087,0.0000
0.5,-0.25,0.3285,0.3285,0.0821,0.0821,1.3139,1.3139,1.3139,1.3139,1.3139,0.0000
0.5,-0.167,0.3294,0.3294,0.0367,0.0367,1.3177,1.3177,1.3177,1.3177,1.3177,0.0000
0.5,0.0,0.3302,0.3302,0.0000,0.0000,1.3207,1.3207,1.3207,1.3207,1.3207,0.0000
0.5,0.167,0.3294,0.3294,0.0367,0.0367,1.3177,1.3177,1.3177,1.3177,1.3177,0.0000
0.5,0.25,0.3285,0.3285,0.0821,0.0821,1.3139,1.3139,1.3139,1.3139,1.3139,0.0000
0.5,0.333,0.3272,0.3272,0.1451,0.1451,1.3087,1.3087,1.3087,1.3087,1.3087,0.0000
0.5,0.5,0.3235,0.3235,0.3235,0.3235,1.2938,1.2938,1.2938,1.2938,1.2938,0.0000
0.5,0.667,0.3184,0.3184,0.5666,0.5666,1.2736,1.2736,1.2736,1.2736,1.2736,0.0000
0.5,0.75,0.3154,0.3154,0.7097,0.7097,1.2617,1.2617,1.2617,1.2617,1.2617,0.0000
0.5,0.833,0.3122,0.3122,0.8665,0.8665,1.2487,1.2487,1.2487,1.2487,1.2487,0.0000
0.5,1.0,0.3048,0.3048,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,1.2194,0.0000
0.5,1.25,0.2922,0.2922,1.8264,1.8264,1.1689,1.1689,1.1689,1.1689,1.1689,0.0000
0.5,1.333,0.2877,0.2877,2.0448,2.0448,1.1508,1.1508,1.1508,1.1508,1.1508,0.0000
0.5,1.5,0.2782,0.2782,2.5034,2.5034,1.1126,1.1126,1.1126,1.1126,1.1126,0.0000
0.5,2.0,0.2478,0.2478,3.9647,3.9647,0.9912,0.9912,0.9912,0.9912,0.9912,0.0000
0.5,2.5,0.2173,0.2173,5.4325,5.4325,0.8692,0.8692,0.8692,0.8692,0.8692,0.0000
0.5,3.0,0.1889,0.1889,6.7999,6.7999,0.7555,0.7555,0.7555,0.7555,0.7555,0.0000
0.5,4.0,0.1417,0.1417,9.0699,9.0699,0.5669,0.5669,0.5669,0.5669,0.5669,0.0000
0.5,6.0,0.0827,0.0827,11.9098,11.9098,0.3308,0.3308,0.3308,0.3308,0.3308,0.0000
1.0,-6.0,0.3122,0.3122,11.2408,11.2408,0.3122,0.3122,0.3122,0.3122,0.3122,0.0000
1.0,-4.0,0.5144,0.5144,8.2305,8.2305,0.5144,0.5144,0.5144,0.5144,0.5144,0.0000
1.0,-3.0,0.6651,0.6651,5.9862,5.9862,0.6651,0.6651,0.6651,0.6651,0.6651,0.0000
1.0,-2.5,0.7517,0.7517,4.6979,4.6979,0.7517,0.7517,0.7517,0.7517,0.7517,0.0000
1.0,-2.0,0.8412,0.8412,3.3647,3.3647,0.8412,0.8412,0.8412,0.8412,0.8412,0.0000
1.0,-1.5,0.9271,0.9271,2.0859,2.0859,0.9271,0.9271,0.9271,0.9271,0.9271,0.0000
1.0,-1.333,0.9534,0.9534,1.6941,1.6941,0.9534,0.9534,0.9534,0.9534,0.9534,0.0000
1.0,-1.25,0.9658,0.9658,1.5091,1.5091,0.9658,0.9658,0.9658,0.9658,0.9658,0.0000
1.0,-1.0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
1.0,-0.833,1.0196,1.0196,0.7075,0.7075,1.0196,1.0196,1.0196,1.0196,1.0196,0.0000
1.0,-0.75,1.0283,1.0283,0.5784,0.5784,1.0283,1.0283,1.0283,1.0283,1.0283,0.0000
1.0,-0.667,1.0362,1.0362,0.4610,0.4610,1.0362,1.0362,1.0362,1.0362,1.0362,0.0000
1.0,-0.5,1.0495,1.0495,0.2624,0.2624,1.0495,1.0495,1.0495,1.0495,1.0495,0.0000
1.0,-0.333,1.0593,1.0593,0.1175,0.1175,1.0593,1.0593,1.0593,1.0593,1.0593,0.0000
1.0,-0.25,1.0627,1.0627,0.0664,0.0664,1.0627,1.0627,1.0627,1.0627,1.0627,0.0000
1.0,-0.167,1.0652,1.0652,0.0297,0.0297,1.0652,1.0652,1.0652,1.0652,1.0652,0.0000
1.0,0.0,1.0672,1.0672,0.0000,0.0000,1.0672,1.0672,1.0672,1.0672,1.0672,0.0000
1.0,0.167,1.0652,1.0652,0.0297,0.0297,1.0652,1.0652,1.0652,1.0652,1.0652,0.0000
1.0,0.25,1.0627,1.0627,0.0664,0.0664,1.0627,1.0627,1.0627,1.0627,1.0627,0.0000
1.0,0.333,1.0593,1.0593,0.1175,0.1175,1.0593,1.0593,1.0593,1.0593,1.0593,0.0000
1.0,0.5,1.0495,1.0495,0.2624,0.2624,1.0495,1.0495,1.0495,1.0495,1.0495,0.0000
1.0,0.667,1.0362,1.0362,0.4610,0.4610,1.0362,1.0362,1.0362,1.0362,1.0362,0.0000
1.0,0.75,1.0283,1.0283,0.5784,0.5784,1.0283,1.0283,1.0283,1.0283,1.0283,0.0000
1.0,0.833,1.0196,1.0196,0.7075,0.7075,1.0196,1.0196,1.0196,1.0196,1.0196,0.0000
1.0,1.0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
1.0,1.25,0.9658,0.9658,1.5091,1.5091,0.9658,0.9658,0.9658,0.9658,0.9658,0.0000
1.0,1.333,0.9534,0.9534,1.6941,1.6941,0.9534,0.9534,0.9534,0.9534,0.9534,0.0000
1.0,1.5,0.9271,0.9271,2.0859,2.0859,0.9271,0.9271,0.9271,0.9271,0.9271,0.0000
1.0,2.0,0.8412,0.8412,3.3647,3.3647,0.8412,0.8412,0.8412,0.8412,0.8412,0.0000
1.0,2.5,0.7517,0.7517,4.6979,4.6979,0.7517,0.7517,0.7517,0.7517,0.7517,0.0000
1.0,3.0,0.6651,0.6651,5.9862,5.9862,0.6651,0.6651,0.6651,0.6651,0.6651,0.0000
1.0,4.0,0.5144,0.5144,8.2305,8.2305,0.5144,0.5144,0.5144,0.5144,0.5144,0.0000
1.0,6.0,0.3122,0.3122,11.2408,11.2408,0.3122,0.3122,0.3122,0.3122,0.3122,0.0000
1.5,-6.0,0.6424,0.6424,10.2785,10.2785,0.2855,0.2855,0.2855,0.2855,0.2855,0.0000
1.5,-4.0,1.0028,1.0028,7.1307,7.1307,0.4457,0.4457,0.4457,0.4457,0.4457,0.0000
1.5,-3.0,1.2477,1.2477,4.9909,4.9909,0.5545,0.5545,0.5545,0.5545,0.5545,0.0000
